,mae,mse,rmse,mape
0,0.009589638,0.00015109,0.012291879,0.020012842
1,0.010153583,0.000155618,0.012474688,0.035632808
2,0.055814788,0.06711902,0.25907338,0.12775685
3,0.27348204,0.1978.1044,0.4475883,0.79791
4,0,0,0,0
5,0.015046765,0.000422544,0.02055588,0.35956115
6,5599307000,1.29E+21,35910054000,38980816
7,148.6449,42232.02,205.5043,10.698707
8,279.65533,203602.2,451.223,5.478514
9,732.0327,1149655.6,1072.22,10.845366
10,0.07825913,0.015455679,0.12432087,1.1381618
11,0.025426226,0.001197099,0.03459911,0.28318155
12,815.2981,1644912.9,1282.5415,3.20051
13,1746033.4,1.56603E+13,3957315.8,5787825
14,0.09409989,0.046750896,0.21621956,0.09462476
15,0.41350615,0.30757788,0.554597,0.41813737
16,0.3114756,0.23563786,0.48542544,0.34355724
17,0.08418839,0.024115138,0.1552905,1.6711142
18,6068.4316,83426450,9133.808,7.2731957
19,0.05334449,0.007867836,0.08870082,0.3135226
20,5.1892767,515.0099,22.693829,3.5197144
21,2283.6746,8877280,2979.4766,0.021413079
22,467.44632,591857.94,769.323,4.2845163
23,1704.8481,8682367,2946.5857,5.8114033
24,0.3172284,0.15984742,0.39980924,0.3232418
25,14.591451,380.82898,19.51484,37.794132
26,402.37036,366242.34,605.17957,3.814001
27,0.014891561,0.000419181,0.020473903,0.35585994
28,3117.8887,18059842,4249.6875,0.10216857
29,2862.2751,14176960,3765.2305,0.08895401
30,0.263711,0.12455554,0.3529243,2.727055
31,616.4436,819256.25,905.12775,4.1101637
32,278.2714,206151.64,454.03925,5.3996816
33,0.56032896,1.2512208,1.1185797,11.616352
34,8629.288,427092860,20666.225,1.0321983
35,32.396458,2688.2756,51.848583,2.9870906
36,0.039841868,0.008067575,0.08981968,0.27130586
37,0.04173171,0.00437982,0.06618021,0.1256777
38,0.33301714,6.7933865,2.6064124,0.3838446
39,0.2566778,0.17601937,0.4195466,0.25855282
40,1511.8636,6187256,2487.4194,9.601218
41,4.092912,42.401657,6.5116553,3.7045712
42,0.119816996,0.125673,0.35450387,1.1903247
43,0.054025922,0.005956146,0.077176064,3.0245955
44,0.15595537,0.05279785,0.22977783,0.5396676
45,5607397400,1.29E+21,35904260000,3329298.5
46,59.512543,6907.8994,83.11377,8.648508
47,0.020616144,0.001622348,0.040278386,0.12982292
48,922.4132,3068207.8,1751.63,6.616706
49,1651960.1,1.37765E+13,3711675,1269120.2
